SampleID	Time_point	Tissue_type	State	Field	Sampling_date	ID	NewSampleID	OldID	Site	Main_plot	Sub_plot_A	Sub_plot_B	CA_Row	Location	Block	Bed	row	Year
L-T1-MCH2	T1	Leaves	California	CA_Field_1	6/8/22	MCH2	L-T1-MCH2		CA1	mulch	control	humic	2					2022
L-T1-MCH3	T1	Leaves	California	CA_Field_1	6/8/22	MCH3	L-T1-MCH3		CA1	mulch	control	humic	3					2022
L-T1-MCH4	T1	Leaves	California	CA_Field_1	6/8/22	MCH4	L-T1-MCH4		CA1	mulch	control	humic	4					2022
L-T1-MGC1	T1	Leaves	California	CA_Field_1	6/8/22	MGC1	L-T1-MGC1		CA1	mulch	Glyphosate	control	1					2022
L-T1-MGC2	T1	Leaves	California	CA_Field_1	6/8/22	MGC2	L-T1-MGC2		CA1	mulch	Glyphosate	control	2					2022
L-T1-MGC3	T1	Leaves	California	CA_Field_1	6/8/22	MGC3	L-T1-MGC3		CA1	mulch	Glyphosate	control	3					2022
L-T1-MGC4	T1	Leaves	California	CA_Field_1	6/8/22	MGC4	L-T1-MGC4		CA1	mulch	Glyphosate	control	4					2022
L-T1-MGH1	T1	Leaves	California	CA_Field_1	6/8/22	MGH1	L-T1-MGH1		CA1	mulch	Glyphosate	humic	1					2022
L-T1-MGH2	T1	Leaves	California	CA_Field_1	6/8/22	MGH2	L-T1-MGH2		CA1	mulch	Glyphosate	humic	2					2022
L-T1-MGH3	T1	Leaves	California	CA_Field_1	6/8/22	MGH3	L-T1-MGH3		CA1	mulch	Glyphosate	humic	3					2022
L-T1-MGH4	T1	Leaves	California	CA_Field_1	6/8/22	MGH4	L-T1-MGH4		CA1	mulch	Glyphosate	humic	4					2022
MCCT1-S1	T1	Bulk_soil	California	CA_Field_1		MCC1	S-T1-MCC1		CA1	mulch	control	control	1					2022
MCCT1-S2	T1	Bulk_soil	California	CA_Field_1		MCC2	S-T1-MCC2		CA1	mulch	control	control	2					2022
MCCT1-S3	T1	Bulk_soil	California	CA_Field_1		MCC3	S-T1-MCC3		CA1	mulch	control	control	3					2022
